,age,gender,race,image_name,face_name_align
0,more than 70,Male,White,100_0_0_20170112213500903.jpg.chip.jpg,100_0_0_20170112213500903.jpg.chip.jpg
1,more than 70,Male,White,100_0_0_20170112215240346.jpg.chip.jpg,100_0_0_20170112215240346.jpg.chip.jpg
2,more than 70,Female,White,100_1_0_20170110183726390.jpg.chip.jpg,100_1_0_20170110183726390.jpg.chip.jpg
3,more than 70,Female,White,100_1_0_20170112213001988.jpg.chip.jpg,100_1_0_20170112213001988.jpg.chip.jpg
4,more than 70,Female,White,100_1_0_20170112213303693.jpg.chip.jpg,100_1_0_20170112213303693.jpg.chip.jpg
5,more than 70,Female,White,100_1_0_20170112215032192.jpg.chip.jpg,100_1_0_20170112215032192.jpg.chip.jpg
6,more than 70,Female,White,100_1_0_20170117195420803.jpg.chip.jpg,100_1_0_20170117195420803.jpg.chip.jpg
7,more than 70,Female,White,100_1_0_20170119212053665.jpg.chip.jpg,100_1_0_20170119212053665.jpg.chip.jpg
8,more than 70,Female,East Asian,100_1_2_20170105174847679.jpg.chip.jpg,100_1_2_20170105174847679.jpg.chip.jpg
9,more than 70,Female,East Asian,100_1_2_20170112213615815.jpg.chip.jpg,100_1_2_20170112213615815.jpg.chip.jpg
10,more than 70,Female,East Asian,100_1_2_20170112222336458.jpg.chip.jpg,100_1_2_20170112222336458.jpg.chip.jpg
11,more than 70,Male,White,101_0_0_20170112213500903.jpg.chip.jpg,101_0_0_20170112213500903.jpg.chip.jpg
12,more than 70,Female,East Asian,101_1_2_20170105174739309.jpg.chip.jpg,101_1_2_20170105174739309.jpg.chip.jpg
13,more than 70,Male,East Asian,103_0_2_20170112213001988.jpg.chip.jpg,103_0_2_20170112213001988.jpg.chip.jpg
14,more than 70,Male,White,105_0_0_20170112213001988.jpg.chip.jpg,105_0_0_20170112213001988.jpg.chip.jpg
15,more than 70,Female,White,105_1_0_20170112213001988.jpg.chip.jpg,105_1_0_20170112213001988.jpg.chip.jpg
