face_name_align,race,age_bin_scores_fair,race_scores_fair,age_bin_outputs,race_outputs,age_bin_preds_fair,race_preds_fair,age_bin,race
Images/UTKFace/34_1_0_20170117171647603.jpg.chip.jpg,0,[0.81561494 0.18438508],,[ 0.56054777 -0.92636824],,0,,1,
Images/UTKFace/26_0_0_20170113210127157.jpg.chip.jpg,0,[0.9308747  0.06912527],,[ 1.0368266 -1.5633776],,0,,0,
Images/UTKFace/19_1_1_20170114030819891.jpg.chip.jpg,1,[9.9970818e-01 2.9185272e-04],,[ 3.9781747 -4.1607947],,0,,0,
Images/UTKFace/1_0_0_20170109191445171.jpg.chip.jpg,0,[0.9986301  0.00136988],,[ 3.0803359 -3.5113263],,0,,0,
Images/UTKFace/60_0_0_20170117001131850.jpg.chip.jpg,0,[0.00862522 0.9913748 ],,[-2.6347067  2.109696 ],,1,,1,
Images/UTKFace/25_1_0_20170117152143899.jpg.chip.jpg,0,[0.9931542  0.00684577],,[ 2.250648  -2.7266064],,0,,0,
Images/UTKFace/31_1_1_20170116155750618.jpg.chip.jpg,1,[0.01230784 0.9876922 ],,[-2.4428368  1.9422983],,1,,1,
Images/UTKFace/40_0_0_20170113210126285.jpg.chip.jpg,0,[0.20836823 0.7916318 ],,[-0.9549709   0.37981865],,1,,1,
Images/UTKFace/38_0_1_20170117184650128.jpg.chip.jpg,1,[1.772493e-05 9.999823e-01],,[-5.8678827  5.072638 ],,1,,1,
Images/UTKFace/35_0_1_20170117141828539.jpg.chip.jpg,1,[0.00783043 0.99216956],,[-2.8216884  2.0201883],,1,,1,
Images/UTKFace/60_1_0_20170110140637026.jpg.chip.jpg,0,[0.03044789 0.9695521 ],,[-2.0575771  1.4032406],,1,,1,
Images/UTKFace/71_0_0_20170111210043449.jpg.chip.jpg,0,[7.6160384e-11 1.0000000e+00],,[-12.046699  11.251481],,1,,1,
Images/UTKFace/25_0_1_20170113145422493.jpg.chip.jpg,1,[0.9934698  0.00653021],,[ 2.3000946 -2.72467  ],,0,,0,
Images/UTKFace/48_0_0_20170104184719245.jpg.chip.jpg,0,[0.08802167 0.9119783 ],,[-1.3849146  0.9531185],,1,,1,
Images/UTKFace/21_0_0_20170114025137038.jpg.chip.jpg,0,[0.9986997 0.0013003],,[ 3.126847  -3.5170114],,0,,0,
Images/UTKFace/3_0_0_20170110213730328.jpg.chip.jpg,0,[9.9999875e-01 1.2725280e-06],,[ 6.5915833 -6.9829206],,0,,0,
Images/UTKFace/56_0_0_20170109012703197.jpg.chip.jpg,0,[0.0111529  0.98884714],,[-2.541129   1.9437109],,1,,1,
Images/UTKFace/29_0_0_20170109013328101.jpg.chip.jpg,0,[0.08096294 0.91903704],,[-1.4576098   0.97172505],,1,,0,
Images/UTKFace/51_1_1_20170112213230359.jpg.chip.jpg,1,[0.00124943 0.99875057],,[-3.5302885  3.1535254],,1,,1,
Images/UTKFace/49_0_1_20170117180355439.jpg.chip.jpg,1,[0.00245816 0.99754184],,[-3.2974439  2.7084374],,1,,1,
Images/UTKFace/32_0_1_20170117135943245.jpg.chip.jpg,1,[4.8418116e-04 9.9951583e-01],,[-4.0358915  3.5966754],,1,,1,
Images/UTKFace/50_0_0_20170117180346013.jpg.chip.jpg,0,[7.97697e-06 9.99992e-01],,[-6.120414   5.6185303],,1,,1,
Images/UTKFace/26_1_1_20170116160647680.jpg.chip.jpg,1,[0.36470684 0.6352931 ],,[-0.43131545  0.12367731],,1,,0,
Images/UTKFace/25_0_1_20170117195252189.jpg.chip.jpg,1,[0.27589983 0.7241002 ],,[-0.7021673  0.2627245],,1,,0,
Images/UTKFace/60_1_0_20170104185020782.jpg.chip.jpg,0,[0.25318977 0.74681026],,[-0.64078933  0.44088253],,1,,1,
Images/UTKFace/51_1_0_20170117160938079.jpg.chip.jpg,0,[0.52250254 0.4774975 ],,[-0.11373021 -0.20380096],,0,,1,
Images/UTKFace/11_0_0_20170110220500946.jpg.chip.jpg,0,[0.64321464 0.35678536],,[ 0.03263044 -0.5567136 ],,0,,0,
Images/UTKFace/42_1_1_20170116021841454.jpg.chip.jpg,1,[0.97093457 0.02906548],,[ 1.5641294 -1.9445785],,0,,1,
Images/UTKFace/31_0_1_20170116024257506.jpg.chip.jpg,1,[9.9979633e-01 2.0365228e-04],,[ 4.0194163 -4.4794765],,0,,1,
Images/UTKFace/4_0_1_20161219230428976.jpg.chip.jpg,1,[0.9987087 0.0012913],,[ 3.1763847 -3.474428 ],,0,,0,
Images/UTKFace/32_1_0_20170104172950778.jpg.chip.jpg,0,[0.9634449  0.03655509],,[ 1.4421679 -1.8295269],,0,,1,
Images/UTKFace/62_0_0_20170111193832899.jpg.chip.jpg,0,[2.5925978e-08 1.0000000e+00],,[-9.087317  8.380703],,1,,1,
Images/UTKFace/70_0_0_20170111201153097.jpg.chip.jpg,0,[0.00184358 0.9981564 ],,[-3.4236453  2.8705537],,1,,1,
Images/UTKFace/45_1_1_20170116234410850.jpg.chip.jpg,1,[0.19314907 0.80685097],,[-0.843588   0.5860887],,1,,1,
Images/UTKFace/85_0_0_20170120221827893.jpg.chip.jpg,0,[2.7672513e-05 9.9997234e-01],,[-5.5887575  4.906286 ],,1,,1,
Images/UTKFace/54_0_0_20170120223356317.jpg.chip.jpg,0,[0.0066711  0.99332887],,[-2.7526035  2.250674 ],,1,,1,
Images/UTKFace/29_1_1_20170116171310427.jpg.chip.jpg,1,[0.9930387  0.00696126],,[ 2.2581596 -2.70225  ],,0,,0,
Images/UTKFace/61_1_0_20170109150858084.jpg.chip.jpg,0,[3.546384e-04 9.996454e-01],,[-4.3335705  3.6104867],,1,,1,
Images/UTKFace/75_0_0_20170113185416591.jpg.chip.jpg,0,[9.741695e-09 1.000000e+00],,[-9.696941  8.749909],,1,,1,
Images/UTKFace/35_0_0_20170117173401692.jpg.chip.jpg,0,[0.75551444 0.24448557],,[ 0.43021467 -0.698028  ],,0,,1,
Images/UTKFace/9_0_0_20170110225608402.jpg.chip.jpg,0,[9.9999601e-01 3.9531064e-06],,[ 5.8879933 -6.5530114],,0,,0,
Images/UTKFace/32_0_1_20170116003725128.jpg.chip.jpg,1,[0.07877146 0.9212286 ],,[-1.4622644  0.996893 ],,1,,1,
Images/UTKFace/26_1_1_20170116164358291.jpg.chip.jpg,1,[0.00358393 0.99641603],,[-2.9761136  2.651592 ],,1,,0,
Images/UTKFace/50_1_0_20170117134105409.jpg.chip.jpg,0,[0.02063986 0.9793601 ],,[-2.1651554  1.6945199],,1,,1,
Images/UTKFace/30_1_0_20170117151337477.jpg.chip.jpg,0,[0.25574648 0.7442535 ],,[-0.58832264  0.47987235],,1,,1,
Images/UTKFace/58_1_1_20170113185350033.jpg.chip.jpg,1,[0.01204031 0.98795974],,[-2.412785   1.9945967],,1,,1,
Images/UTKFace/26_1_1_20170112235543761.jpg.chip.jpg,1,[0.04595157 0.95404845],,[-1.727717   1.3054092],,1,,0,
Images/UTKFace/24_1_0_20170103163129280.jpg.chip.jpg,0,[0.83695006 0.16304994],,[ 0.6866912 -0.9490167],,0,,0,
Images/UTKFace/25_0_0_20170117143439000.jpg.chip.jpg,0,[0.99844056 0.00155942],,[ 2.9428074 -3.519075 ],,0,,0,
Images/UTKFace/23_1_0_20170103180035647.jpg.chip.jpg,0,[0.9685942  0.03140586],,[ 1.4711032 -1.957748 ],,0,,0,
Images/UTKFace/17_1_0_20170104011923497.jpg.chip.jpg,0,[0.9777669  0.02223312],,[ 1.7221181 -2.0615702],,0,,0,
Images/UTKFace/1_1_0_20161219202919508.jpg.chip.jpg,0,[9.9998337e-01 1.6615713e-05],,[ 5.2418747 -5.7632704],,0,,0,
Images/UTKFace/24_1_1_20170112234401495.jpg.chip.jpg,1,[0.9989785  0.00102151],,[ 3.1790018 -3.7064524],,0,,0,
Images/UTKFace/93_1_0_20170120225304313.jpg.chip.jpg,0,[1.0991454e-04 9.9989009e-01],,[-4.8849254  4.230772 ],,1,,1,
