face_name_align,race,gender_scores_fair,race_scores_fair,gender_outputs,race_outputs,gender_preds_fair,race_preds_fair,gender,race
Images/UTKFace/42_0_0_20170117171631214.jpg.chip.jpg,0,[0.8927964  0.10720355],,[ 0.8591915 -1.2604377],,0,,0,
Images/UTKFace/1_1_0_20170109192729677.jpg.chip.jpg,0,[0.645376 0.354624],,[ 0.09938309 -0.49939197],,0,,1,
Images/UTKFace/56_0_2_20170112221925748.jpg.chip.jpg,2,[0.37415284 0.62584716],,[-0.30226624  0.21217562],,1,,0,
Images/UTKFace/3_0_0_20170110213136600.jpg.chip.jpg,0,[0.4078483 0.5921517],,[-0.40973094 -0.03686324],,1,,0,
Images/UTKFace/61_0_0_20170117174451974.jpg.chip.jpg,0,[0.29431596 0.70568407],,[-0.6327302   0.24178353],,1,,0,
Images/UTKFace/1_0_2_20161219155748349.jpg.chip.jpg,2,[0.7251034  0.27489662],,[ 0.24536185 -0.7245572 ],,0,,0,
Images/UTKFace/38_0_1_20170113152209191.jpg.chip.jpg,1,[0.9821909  0.01780914],,[ 1.781385  -2.2286892],,0,,0,
Images/UTKFace/7_1_2_20161219190036147.jpg.chip.jpg,2,[0.3480281  0.65197194],,[-0.5570026   0.07071574],,1,,1,
Images/UTKFace/53_0_0_20170104212423829.jpg.chip.jpg,0,[0.9492828  0.05071714],,[ 1.2895995 -1.6398433],,0,,0,
Images/UTKFace/24_1_3_20161220221541210.jpg.chip.jpg,3,[0.742529 0.257471],,[ 0.30904207 -0.7501128 ],,0,,1,
Images/UTKFace/32_0_1_20170113145215078.jpg.chip.jpg,1,[0.75844604 0.24155395],,[ 0.2465499 -0.8976289],,0,,0,
Images/UTKFace/40_0_0_20170113210126285.jpg.chip.jpg,0,[0.85118866 0.14881133],,[ 0.79943246 -0.9445221 ],,0,,0,
Images/UTKFace/25_1_1_20170116003258343.jpg.chip.jpg,1,[0.13691793 0.86308205],,[-1.057383    0.78374505],,1,,1,
Images/UTKFace/88_1_0_20170110183756051.jpg.chip.jpg,0,[0.9596881  0.04031181],,[ 1.4254317 -1.7445321],,0,,1,
Images/UTKFace/70_0_0_20170111200757701.jpg.chip.jpg,0,[0.8531525  0.14684746],,[ 0.674367  -1.0851771],,0,,0,
Images/UTKFace/1_0_0_20161219154556757.jpg.chip.jpg,0,[0.31500578 0.6849942 ],,[-0.59465754  0.18216202],,1,,0,
Images/UTKFace/28_0_0_20170117120854505.jpg.chip.jpg,0,[0.8839442  0.11605577],,[ 0.82706743 -1.2032555 ],,0,,0,
Images/UTKFace/52_1_0_20170109221054399.jpg.chip.jpg,0,[0.65970975 0.34029025],,[ 0.23473005 -0.42727107],,0,,1,
Images/UTKFace/25_1_1_20170117140407096.jpg.chip.jpg,1,[0.14616628 0.8538337 ],,[-1.0424689  0.7225227],,1,,1,
Images/UTKFace/36_0_0_20170113184113374.jpg.chip.jpg,0,[0.6611657  0.33883426],,[ 0.1703544  -0.49813902],,0,,0,
Images/UTKFace/1_0_2_20161219161831390.jpg.chip.jpg,2,[0.419498   0.58050203],,[-0.37192693 -0.04709241],,1,,0,
Images/UTKFace/28_0_0_20170117120705693.jpg.chip.jpg,0,[0.78396964 0.21603039],,[ 0.44363412 -0.84531707],,0,,0,
Images/UTKFace/21_0_0_20170114025137038.jpg.chip.jpg,0,[0.8679366  0.13206342],,[ 0.76250654 -1.12033   ],,0,,0,
Images/UTKFace/16_0_0_20170110232313053.jpg.chip.jpg,0,[0.18982904 0.81017095],,[-0.8544424  0.5966789],,1,,0,
Images/UTKFace/23_1_1_20170102233446754.jpg.chip.jpg,1,[0.19512923 0.8048707 ],,[-0.9338153   0.48320428],,1,,1,
Images/UTKFace/30_1_1_20170112231459398.jpg.chip.jpg,1,[0.9468642 0.0531358],,[ 1.2578068 -1.6224979],,0,,1,
Images/UTKFace/32_0_0_20170117182419741.jpg.chip.jpg,0,[0.93490213 0.06509788],,[ 1.1508477 -1.5137023],,0,,0,
Images/UTKFace/32_0_1_20170117140748207.jpg.chip.jpg,1,[0.9134503  0.08654971],,[ 0.926763  -1.4297471],,0,,0,
Images/UTKFace/62_1_0_20170110160643798.jpg.chip.jpg,0,[0.00239646 0.99760354],,[-3.4022574  2.6291063],,1,,1,
Images/UTKFace/26_1_3_20170104223139599.jpg.chip.jpg,3,[0.2847364 0.7152636],,[-0.64016277  0.28092462],,1,,1,
Images/UTKFace/39_0_2_20170104204728132.jpg.chip.jpg,2,[0.83152837 0.16847168],,[ 0.6446639  -0.95183384],,0,,0,
Images/UTKFace/26_0_2_20170116180352453.jpg.chip.jpg,2,[0.30521557 0.69478446],,[-0.62764704  0.19493638],,1,,0,
Images/UTKFace/20_1_1_20170112191224819.jpg.chip.jpg,1,[0.54628044 0.45371956],,[-0.17571309 -0.36136624],,0,,1,
Images/UTKFace/28_1_3_20170119195100723.jpg.chip.jpg,3,[0.14527692 0.85472304],,[-1.1306882   0.64144766],,1,,1,
Images/UTKFace/28_0_1_20170103225933161.jpg.chip.jpg,1,[0.9541676  0.04583243],,[ 1.3623472 -1.6735002],,0,,0,
Images/UTKFace/44_0_3_20170119150719334.jpg.chip.jpg,3,[0.43497205 0.56502795],,[-0.33868456 -0.0770911 ],,1,,0,
Images/UTKFace/21_0_0_20170117142115098.jpg.chip.jpg,0,[0.93214744 0.06785254],,[ 1.1552299 -1.4649242],,0,,0,
Images/UTKFace/26_0_1_20170103235317796.jpg.chip.jpg,1,[0.8473813  0.15261866],,[ 0.6604991 -1.0537093],,0,,0,
Images/UTKFace/28_0_0_20170113210605140.jpg.chip.jpg,0,[0.8746719  0.12532817],,[ 0.71374345 -1.2291696 ],,0,,0,
