face_name_align,race,gender_scores_fair,race_scores_fair,gender_outputs,race_outputs,gender_preds_fair,race_preds_fair,gender,race
Images/UTKFace/40_0_0_20170117140006196.jpg.chip.jpg,0,[0.89689124 0.10310876],,[ 1.0096647 -1.1534855],,0,,0,
Images/UTKFace/25_0_0_20170116223144178.jpg.chip.jpg,0,[0.37868127 0.62131876],,[-0.3549593   0.14019018],,1,,0,
Images/UTKFace/40_0_0_20170117134415492.jpg.chip.jpg,0,[0.56020576 0.43979424],,[ 0.06072655 -0.1812707 ],,0,,0,
Images/UTKFace/50_0_0_20170117160624326.jpg.chip.jpg,0,[0.9883582  0.01164187],,[ 2.1309898 -2.3104475],,0,,0,
Images/UTKFace/68_0_0_20170117171408597.jpg.chip.jpg,0,[0.6354453  0.36455473],,[ 0.2665295 -0.2891198],,0,,0,
Images/UTKFace/9_0_0_20170110221701052.jpg.chip.jpg,0,[0.68007565 0.31992435],,[ 0.36409435 -0.39002505],,0,,0,
Images/UTKFace/4_0_0_20170105183540567.jpg.chip.jpg,0,[0.27470183 0.7252981 ],,[-0.6086365   0.36226004],,1,,0,
Images/UTKFace/47_0_0_20170119205119560.jpg.chip.jpg,0,[0.96349204 0.03650798],,[ 1.6271133 -1.6459202],,0,,0,
Images/UTKFace/40_0_0_20170117151450653.jpg.chip.jpg,0,[0.7959084  0.20409155],,[ 0.6244588 -0.7364567],,0,,0,
Images/UTKFace/25_0_0_20170117151532082.jpg.chip.jpg,0,[0.5271018  0.47289822],,[-0.06199022 -0.17050382],,0,,0,
Images/UTKFace/60_0_0_20170109013457906.jpg.chip.jpg,0,[0.9974505  0.00254947],,[ 2.9083776 -3.060939 ],,0,,0,
Images/UTKFace/12_0_0_20170117182308749.jpg.chip.jpg,0,[0.27698478 0.7230153 ],,[-0.5708733   0.38859454],,1,,0,
Images/UTKFace/45_0_0_20170104184307637.jpg.chip.jpg,0,[0.9817221  0.01827791],,[ 1.9265438 -2.0570712],,0,,0,
Images/UTKFace/26_0_0_20170117091440776.jpg.chip.jpg,0,[0.7892572 0.2107428],,[ 0.6493137 -0.6711402],,0,,0,
Images/UTKFace/88_0_0_20170113185121024.jpg.chip.jpg,0,[0.8822108  0.11778916],,[ 0.89804685 -1.1154879 ],,0,,0,
Images/UTKFace/38_0_0_20170113210604697.jpg.chip.jpg,0,[0.9350359 0.0649641],,[ 1.333095  -1.3336551],,0,,0,
Images/UTKFace/54_0_0_20170120223256415.jpg.chip.jpg,0,[0.48417574 0.51582426],,[-0.11956278 -0.05624455],,1,,0,
Images/UTKFace/78_0_0_20170111210454101.jpg.chip.jpg,0,[0.9224268  0.07757317],,[ 1.2094508 -1.2663355],,0,,0,
Images/UTKFace/47_0_0_20170117155944017.jpg.chip.jpg,0,[0.5798126  0.42018744],,[ 0.13518912 -0.18681483],,0,,0,
Images/UTKFace/26_0_0_20170117153343071.jpg.chip.jpg,0,[0.5903406  0.40965942],,[ 0.12563261 -0.23974074],,0,,0,
Images/UTKFace/58_0_0_20170117184403351.jpg.chip.jpg,0,[0.71401995 0.28598005],,[ 0.40433252 -0.5106564 ],,0,,0,
Images/UTKFace/53_0_0_20170117163655617.jpg.chip.jpg,0,[0.96914953 0.03085049],,[ 1.6711898 -1.7760766],,0,,0,
Images/UTKFace/50_0_0_20170117155052592.jpg.chip.jpg,0,[0.20305598 0.7969441 ],,[-0.77234286  0.5949598 ],,1,,0,
Images/UTKFace/46_0_0_20170104204638611.jpg.chip.jpg,0,[0.9023777  0.09762231],,[ 1.0840228 -1.1399045],,0,,0,
Images/UTKFace/25_0_0_20170116220630282.jpg.chip.jpg,0,[0.86951977 0.13048019],,[ 0.96993816 -0.92678165],,0,,0,
Images/UTKFace/42_0_0_20170104184018702.jpg.chip.jpg,0,[0.97407234 0.0259277 ],,[ 1.7149662 -1.9112073],,0,,0,
Images/UTKFace/10_0_0_20170110224255796.jpg.chip.jpg,0,[0.7395748 0.2604252],,[ 0.5164342  -0.52732545],,0,,0,
Images/UTKFace/21_0_0_20170117142009042.jpg.chip.jpg,0,[0.7541637  0.24583635],,[ 0.44165605 -0.6792873 ],,0,,0,
Images/UTKFace/25_0_0_20170116222939697.jpg.chip.jpg,0,[0.5994386  0.40056133],,[ 0.17160559 -0.23152107],,0,,0,
Images/UTKFace/13_0_0_20170110225447389.jpg.chip.jpg,0,[0.762222   0.23777804],,[ 0.5881163 -0.5767839],,0,,0,
